CLASS_NAME	PERSON_FULL_NAME	BEGIN_HH_TIME	SECTION_END_DATE	AVAIL_SEAT	DAY_CODE	BLDG_CODE	BEGIN_MM_TIME	FK_CDI_INSTR_TYPE	FK_SPM_SPCL_MTG_CD	COUNT_ON_WAITLIST	END_HH_TIME	PRIMARY_INSTR_FLAG	LONG_DESC	END_MM_TIME	SECTION_START_DATE	STP_ENRLT_FLAG	SCTN_ENRLT_QTY	START_DATE	ROOM_CODE	SECTION_NUMBER	SECT_CODE	BEFORE_DESC	SCTN_CPCTY_QTY	FK_SST_SCTN_STATCD
AESE 279A	Sorenson, Harold W.	0	2018-03-16	37	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	929204	A00	 	37	AC	
AIP 197	Wienhausen, Gabriele	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	922332	A00	 	9999	AC	
AIP 197P	Wienhausen, Gabriele	0	2018-03-16	9999	 	TBA	0	IT	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	927600	A00	 	9999	AC	
AIP 197T	Wienhausen, Gabriele	0	2018-03-16	9999	 	TBA	0	FW	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	922334	A00	 	9999	AC	
ANES 296	Staff	0	2018-03-25	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-11-06	N	0	 	TBA	928379	001	 	9999	AC	
ANES 296	Staff	0	2018-03-25	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-11-06	N	0	 	TBA	928380	002	 	9999	AC	
ANES 296	Staff	0	2018-03-25	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-11-06	N	0	 	TBA	928381	003	 	9999	AC	
ANES 296	Staff	0	2018-03-25	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-11-06	N	0	 	TBA	928382	004	 	9999	AC	
ANES 299	Staff	0	2018-03-25	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-11-06	N	0	 	TBA	928383	001	 	9999	AC	
ANES 299	Staff	0	2018-03-25	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-11-06	N	0	 	TBA	928384	002	 	9999	AC	
ANES 299	Staff	0	2018-03-25	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-11-06	N	0	 	TBA	928385	003	 	9999	AC	
ANES 299	Staff	0	2018-03-25	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-11-06	N	0	 	TBA	928386	004	 	9999	AC	
ANES 299	Staff	0	2018-03-25	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-11-06	N	0	 	TBA	928387	005	 	9999	AC	
ANES 401	Greenberg, Mark	0	2018-03-25	9999	 	TBA	0	CL	TBA	0	0	Y	                              	0	2017-11-06	N	0	 	TBA	928388	A00	 	9999	AC	
ANES 402	Staff	0	2018-03-25	9999	 	TBA	0	CL	TBA	0	0	 	                              	0	2017-11-06	N	0	 	TBA	928390	A01	 	9999	AC	
ANES 402	Polston, Gregory Robert	0	2018-03-25	9999	 	TBA	0	LE	TBA	0	0	Y	                              	0	2017-11-06	N	0	 	TBA	928389	A00	 	9999	NC	
ANES 403	Meier, Angela	0	2018-03-25	9999	 	TBA	0	CL	TBA	0	0	Y	                              	0	2017-11-06	N	0	 	TBA	928391	A00	 	9999	AC	
ANES 410	Greenberg, Mark	0	2018-03-25	9996	 	TBA	0	CL	TBA	0	0	Y	                              	0	2017-11-06	N	3	 	TBA	928392	A00	 	9999	AC	
ANES 427	Doucet, Jay	0	2018-03-25	9999	 	TBA	0	CL	TBA	0	0	Y	                              	0	2017-11-06	N	0	 	TBA	928393	A00	 	9999	AC	
ANES 496	Staff	0	2018-03-25	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-11-06	N	0	 	TBA	928394	001	 	9999	AC	
ANES 496	Staff	0	2018-03-25	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-11-06	N	0	 	TBA	928395	002	 	9999	AC	
ANES 496	Staff	0	2018-03-25	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-11-06	N	0	 	TBA	928396	003	 	9999	AC	
ANSC 148	Kang, Byung Chu	14	2018-03-16	98	24	WLH  	0	LE	  	0	15	Y	                              	20	2018-01-08	N	0	2018-01-08	2005 	923506	A00	 	98	AC	
ANSC 148	Kang, Byung Chu	15	2018-03-16	98	4	WLH  	0	LE	FI	0	17	Y	                              	59	2018-01-08	N	0	2018-03-22	2005 	923506	A00	 	98	AC	
ANTH 21	Olivas Hernandez, Olga Lid	11	2018-03-16	36	3	MANDE	0	DI	  	0	11	Y	                              	50	2018-01-08	N	0	2018-01-08	B-104	923514	A01	 	36	AC	
ANTH 21	Olivas Hernandez, Olga Lid	14	2018-03-16	36	3	SOLIS	0	DI	  	0	14	Y	                              	50	2018-01-08	N	0	2018-01-08	109  	923515	A02	 	36	AC	
ANTH 21	Olivas Hernandez, Olga Lid	11	2018-03-16	37	5	MANDE	0	DI	  	0	11	Y	                              	50	2018-01-08	N	0	2018-01-08	B-104	923516	A03	 	37	AC	
ANTH 21	Olivas Hernandez, Olga Lid	12	2018-03-16	37	5	MANDE	0	DI	  	0	12	Y	                              	50	2018-01-08	N	0	2018-01-08	B-104	923517	A04	 	37	AC	
ANTH 21	Duzel, Esin	13	2018-03-16	37	1	SOLIS	0	DI	  	0	13	Y	                              	50	2018-01-08	N	0	2018-01-08	111  	928211	B01	 	37	AC	
ANTH 21	Duzel, Esin	14	2018-03-16	36	1	SOLIS	0	DI	  	0	14	Y	                              	50	2018-01-08	N	0	2018-01-08	111  	928212	B02	 	36	AC	
ANTH 21	Duzel, Esin	13	2018-03-16	37	3	SOLIS	0	DI	  	0	13	Y	                              	50	2018-01-08	N	0	2018-01-08	111  	928213	B03	 	37	AC	
ANTH 21	Staff	14	2018-03-16	36	3	SOLIS	0	DI	  	0	14	 	                              	50	2018-01-08	N	0	2018-01-08	111  	928214	B04	 	36	AC	
ANTH 21	Duzel, Esin	15	2018-03-16	37	3	SOLIS	0	DI	  	0	15	Y	                              	50	2018-01-08	N	0	2018-01-08	111  	928215	B05	 	37	AC	
ANTH 21	Duzel, Esin	13	2018-03-16	36	5	SOLIS	0	DI	  	0	13	Y	                              	50	2018-01-08	N	0	2018-01-08	111  	928216	B06	 	36	AC	
ANTH 21	Duzel, Esin	14	2018-03-16	37	5	SOLIS	0	DI	  	0	14	Y	                              	50	2018-01-08	N	0	2018-01-08	109  	928217	B07	 	37	AC	
ANTH 21	Duzel, Esin	15	2018-03-16	36	5	SOLIS	0	DI	  	0	15	Y	                              	50	2018-01-08	N	0	2018-01-08	109  	928218	B08	 	36	AC	
ANTH 21	Olivas Hernandez, Olga Lid	16	2018-03-16	146	135	CENTR	0	LE	  	0	16	Y	                              	50	2018-01-08	N	0	2018-01-08	105  	923513	A00	 	146	NC	
ANTH 21	Duzel, Esin	12	2018-03-16	295	135	SOLIS	0	LE	  	0	12	Y	                              	50	2018-01-08	N	0	2018-01-08	107  	928210	B00	 	295	NC	
ANTH 21	Olivas Hernandez, Olga Lid	15	2018-03-16	146	5	CENTR	0	LE	FI	0	17	Y	                              	59	2018-01-08	N	0	2018-03-23	105  	923513	A00	 	146	NC	
ANTH 21	Duzel, Esin	11	2018-03-16	295	3	SOLIS	30	LE	FI	0	14	Y	                              	29	2018-01-08	N	0	2018-03-21	107  	928210	B00	 	295	NC	
ANTH 23	Stewart, Alexander B	13	2018-03-16	37	1	HSS  	0	DI	  	0	13	Y	                              	50	2018-01-08	N	0	2018-01-08	1128A	923523	A01	 	37	AC	
ANTH 23	Stewart, Alexander B	14	2018-03-16	38	1	SOLIS	0	DI	  	0	14	Y	                              	50	2018-01-08	N	0	2018-01-08	109  	923524	A02	 	38	AC	
ANTH 23	Stewart, Alexander B	16	2018-03-16	37	1	HSS  	0	DI	  	0	16	Y	                              	50	2018-01-08	N	0	2018-01-08	1128A	923525	A03	 	37	AC	
ANTH 23	Stewart, Alexander B	13	2018-03-16	38	3	HSS  	0	DI	  	0	13	Y	                              	50	2018-01-08	N	0	2018-01-08	1128A	923526	A04	 	38	AC	
ANTH 23	Stewart, Alexander B	14	2018-03-16	37	3	HSS  	0	DI	  	0	14	Y	                              	50	2018-01-08	N	0	2018-01-08	1128A	923527	A05	 	37	AC	
ANTH 23	Stewart, Alexander B	11	2018-03-16	38	5	SOLIS	0	DI	  	0	11	Y	                              	50	2018-01-08	N	0	2018-01-08	109  	923528	A06	 	38	AC	
ANTH 23	Stewart, Alexander B	14	2018-03-16	37	5	HSS  	0	DI	  	0	14	Y	                              	50	2018-01-08	N	0	2018-01-08	1128A	923529	A07	 	37	AC	
ANTH 23	Stewart, Alexander B	15	2018-03-16	38	5	HSS  	0	DI	  	0	15	Y	                              	50	2018-01-08	N	0	2018-01-08	1128A	923530	A08	 	38	AC	
