CLASS_NAME	PERSON_FULL_NAME	BEGIN_HH_TIME	SECTION_END_DATE	AVAIL_SEAT	DAY_CODE	BLDG_CODE	BEGIN_MM_TIME	FK_CDI_INSTR_TYPE	FK_SPM_SPCL_MTG_CD	COUNT_ON_WAITLIST	END_HH_TIME	PRIMARY_INSTR_FLAG	LONG_DESC	END_MM_TIME	SECTION_START_DATE	STP_ENRLT_FLAG	SCTN_ENRLT_QTY	START_DATE	ROOM_CODE	SECTION_NUMBER	SECT_CODE	BEFORE_DESC	SCTN_CPCTY_QTY	FK_SST_SCTN_STATCD
AAS 198	Chapman, Thandeka K	0	2017-12-08	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	907407	001	 	9999	AC	
AESE 278A	Sorenson, Harold W.	8	2017-12-08	1	56	     	0	LE	  	0	17	Y	                              	0	2017-09-28	N	34	2017-09-28	     	920833	A00	 	35	AC	
AESE 278A	Sorenson, Harold W.	8	2017-12-08	1	1	     	0	LE	FI	0	10	Y	                              	59	2017-09-28	N	34	2017-12-11	     	920833	A00	 	35	AC	
AESE 279A	Sorenson, Harold W.	8	2017-12-08	1	56	     	0	IN	  	0	17	Y	                              	0	2017-09-28	N	34	2017-09-28	     	920350	A00	 	35	AC	
AIP 197	Wienhausen, Gabriele	0	2017-12-08	9993	 	TBA	0	IN	TBA	0	0	Y	                              	0	2017-09-28	N	6	 	TBA	913891	A00	 	9999	AC	
AIP 197F	Wienhausen, Gabriele	0	2017-12-08	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913892	A00	 	9999	AC	
AIP 197P	Wienhausen, Gabriele	0	2017-12-08	9998	 	TBA	0	IN	TBA	0	0	Y	                              	0	2017-09-28	N	1	 	TBA	913893	A00	 	9999	AC	
AIP 197T	Wienhausen, Gabriele	0	2017-12-08	9999	 	TBA	0	FW	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913894	A00	 	9999	AC	
ANAR 100	D'Alpoim Guedes, Jade A	15	2017-12-08	2	24	SSB  	30	LE	  	0	16	Y	Population and Food           	50	2017-09-28	N	18	2017-09-28	105  	918055	A00	 	20	AC	
ANAR 100	D'Alpoim Guedes, Jade A	15	2017-12-08	2	1	SSB  	0	LE	FI	0	17	Y	Population and Food           	59	2017-09-28	N	18	2017-12-11	105  	918055	A00	 	20	AC	
ANAR 100	Staff	0	2017-12-08	0	 	TBA	0	LE	TBA	0	0	 	                              	0	2017-09-28	N	0	 	TBA	920667	B00	AC                            	0	CA	
ANAR 164	Rivera-Collazo, Isabel C	9	2017-12-08	0	24	HSS  	30	LE	  	0	10	Y	                              	50	2017-09-28	N	20	2017-09-28	1128A	913048	A00	 	20	AC	
ANAR 164	Rivera-Collazo, Isabel C	8	2017-12-08	0	4	HSS  	0	LE	FI	0	10	Y	                              	59	2017-09-28	N	20	2017-12-14	1128A	913048	A00	 	20	AC	
