AAS  198	Directed Group Study           [001] (Chapman)
AESE 278A	Complexity & Large
AESE 279A	AESE Quarterly Team Project    [A00] (Sorenson)
AIP  197	Academic Internship Program    [A00] (Wienhausen)
AIP  197F	Academic Intrnshp Prog
AIP  197P	Public Service Minor Internshp [A00] (Wienhausen)
AIP  197T	AIP: Special Programs          [A00] (Wienhausen)
ANAR 100	Spec Topics/Anth Archaeology   [A00] (D'Alpoim Guedes)
ANAR 164	Maritime Archaeology           [A00] (Rivera
ANBI 135	Genetic Anthro Lab Techniques  [B00] (Non)
ANBI 141	The Evolution of Human Diet    [A00] (Schoeninger)
ANBI 145	Bioarchaeology                 [A00] (Staff)
ANBI 148	Ecology/Evol Primate Behavior  [A00] (Lafleur)
ANES 223	Intro/Health Care Policy       [A00] (Hertzka)
ANES 227	Intro Clinical Pain Management [A00] (Ahadian)
ANES 229	Prac Pharm&Phys/Anes&Crit Care [A00] (Weinstein)
ANES 296	Independent Study              [001] (Staff)
ANES 296	Independent Study              [002] (Staff)
ANES 296	Independent Study              [003] (Staff)
ANES 299	Anes/Independent Study Project [001] (Patel)
ANES 299	Anes/Independent Study Project [002] (Staff)
ANES 299	Anes/Independent Study Project [003] (Staff)
ANES 299	Anes/Independent Study Project [004] (Staff)
ANES 401	Anesthesiology Clerkship       [A00] (Greenberg)
ANES 402	Pain Med Eval & Intervntnl Clk [A00] (Polston)
ANES 403	Critical Care Medicine Clerksp [A00] (Meier)
ANES 410	Introduction to Anesthesiology [A00] (Greenberg)
ANES 427	Surgical Critical Care         [A00] (Doucet)
ANES 496	Clinical Independent Study     [001] (Lee)
ANES 496	Clinical Independent Study     [002] (Staff)
ANES 496	Clinical Independent Study     [003] (Staff)
ANES 496	Clinical Independent Study     [004] (Staff)
ANES 496	Clinical Independent Study     [005] (Staff)
ANSC 105	Global Health & Inequality     [B00] (Staff)
ANSC 121	Psychological Anthropology     [A00] (Staff)
ANSC 124	Cultural Anthropology          [A00] (Bialecki)
ANSC 129	Meaning and Healing            [A00] (Csordas)
ANSC 148	Global Health/Cultrl Diversity [A00] (Staff)
ANSC 177	Anthrohistory: Past/Future     [A00] (Pedersen)
ANTH   2	Human Origins                  [A00] (Lafleur)
ANTH  21	Race and Racisms               [A00] (Kang)
ANTH  23	Debating Multiculturalism      [A00] (Stewart)
ANTH  23	Debating Multiculturalism      [B00] (Duzel)
ANTH  87	Freshman Seminar               [A00] (Kang)
ANTH  87	Freshman Seminar               [B00] (Semendeferi)
ANTH 101	Foundations/Social Complexity  [A00] (Goldstein)
ANTH 196A	Honors Studies in Anthropology [A00] (Semendeferi)
ANTH 199	Independent Study              [001] (Non)
ANTH 208	Gender Variance                [A00] (Kang)
ANTH 230	Department Colloquium          [A00] (Rivera
ANTH 270	Archaeology of Climate Change  [A00] (Rivera
ANTH 280A	Core Seminar in Social Anthro  [A00] (Pedersen)
ANTH 280C	Core Sem/Psychological Anthro  [A00] (Parish)
ANTH 281A	Introductory Seminar           [A00] (Parish)
ANTH 285	Grants Writing Practicum       [A00] (Algaze)
ANTH 295	Master's Thesis Preparation    [001] (Algaze)
ANTH 295	Master's Thesis Preparation    [002] (Braswell)
ANTH 295	Master's Thesis Preparation    [003] (Brenner)
ANTH 295	Master's Thesis Preparation    [004] (Csordas)
ANTH 295	Master's Thesis Preparation    [005] (Goldstein)
ANTH 295	Master's Thesis Preparation    [006] (Hankins)
ANTH 295	Master's Thesis Preparation    [007] (Haviland)
ANTH 295	Master's Thesis Preparation    [008] (Jenkins)
ANTH 295	Master's Thesis Preparation    [009] (Levy)
ANTH 295	Master's Thesis Preparation    [010] (Parish)
ANTH 295	Master's Thesis Preparation    [011] (Pedersen)
ANTH 295	Master's Thesis Preparation    [012] (Postero)
ANTH 295	Master's Thesis Preparation    [013] (Schoeninger)
ANTH 295	Master's Thesis Preparation    [014] (Semendeferi)
ANTH 295	Master's Thesis Preparation    [015] (Strum)
ANTH 295	Master's Thesis Preparation    [016] (Woolard)
ANTH 295	Master's Thesis Preparation    [017] (Varma)
ANTH 295	Master's Thesis Preparation    [018] (Non)
ANTH 295	Master's Thesis Preparation    [019] (Kang)
ANTH 295	Master's Thesis Preparation    [020] (Rivera
ANTH 295	Master's Thesis Preparation    [021] (D'Alpoim Guedes)
ANTH 296	Dissertation Fieldwork Prep    [001] (Algaze)
ANTH 296	Dissertation Fieldwork Prep    [002] (Braswell)
ANTH 296	Dissertation Fieldwork Prep    [003] (Brenner)
ANTH 296	Dissertation Fieldwork Prep    [004] (Csordas)
ANTH 296	Dissertation Fieldwork Prep    [005] (Goldstein)
ANTH 296	Dissertation Fieldwork Prep    [006] (Hankins)
ANTH 296	Dissertation Fieldwork Prep    [007] (Haviland)
ANTH 296	Dissertation Fieldwork Prep    [008] (Jenkins)
ANTH 296	Dissertation Fieldwork Prep    [009] (Levy)
ANTH 296	Dissertation Fieldwork Prep    [010] (Parish)
ANTH 296	Dissertation Fieldwork Prep    [011] (Pedersen)
ANTH 296	Dissertation Fieldwork Prep    [012] (Postero)
ANTH 296	Dissertation Fieldwork Prep    [013] (Schoeninger)
ANTH 296	Dissertation Fieldwork Prep    [014] (Semendeferi)
ANTH 296	Dissertation Fieldwork Prep    [015] (Strum)
ANTH 296	Dissertation Fieldwork Prep    [016] (Woolard)
ANTH 296	Dissertation Fieldwork Prep    [017] (Varma)
ANTH 296	Dissertation Fieldwork Prep    [018] (Non)
ANTH 296	Dissertation Fieldwork Prep    [019] (Kang)
ANTH 296	Dissertation Fieldwork Prep    [020] (Rivera
ANTH 296	Dissertation Fieldwork Prep    [021] (D'Alpoim Guedes)
ANTH 297	Research Practicum             [001] (Algaze)
ANTH 297	Research Practicum             [002] (Braswell)
ANTH 297	Research Practicum             [003] (Brenner)
ANTH 297	Research Practicum             [004] (Csordas)
ANTH 297	Research Practicum             [005] (Goldstein)
ANTH 297	Research Practicum             [006] (Hankins)
ANTH 297	Research Practicum             [007] (Haviland)
ANTH 297	Research Practicum             [008] (Jenkins)
ANTH 297	Research Practicum             [009] (Levy)
ANTH 297	Research Practicum             [010] (Parish)
ANTH 297	Research Practicum             [011] (Pedersen)
ANTH 297	Research Practicum             [012] (Postero)
ANTH 297	Research Practicum             [013] (Schoeninger)
ANTH 297	Research Practicum             [014] (Semendeferi)
ANTH 297	Research Practicum             [015] (Strum)
ANTH 297	Research Practicum             [016] (Woolard)
ANTH 297	Research Practicum             [017] (Varma)
ANTH 297	Research Practicum             [018] (Non)
ANTH 297	Research Practicum             [019] (Kang)
ANTH 297	Research Practicum             [020] (Rivera
ANTH 297	Research Practicum             [021] (D'Alpoim Guedes)
ANTH 298	Independent Study              [001] (Algaze)
ANTH 298	Independent Study              [002] (Braswell)
ANTH 298	Independent Study              [003] (Brenner)
